OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Weak foot,Skill moves
72,63,53,65,70,66,69,65,61,60,54,56,55,32,45,53,70,36,75,73,37,68,75,79,68,70,65,67,48,66,72,68,61,81,65,67,4,2
72,85,36,54,65,69,77,82,87,29,30,56,35,29,30,34,38,25,73,72,36,61,79,54,65,68,65,71,71,66,71,66,90,69,81,76,3,2
72,63,50,62,68,71,72,64,63,56,51,50,49,43,52,38,72,32,73,68,45,67,61,63,70,72,73,71,69,69,73,69,74,76,71,67,3,2
72,81,35,67,69,67,66,82,81,59,33,36,35,28,41,71,65,30,74,60,59,66,79,75,62,70,64,67,50,68,69,70,71,73,66,57,4,2
72,75,70,62,68,37,73,73,76,75,70,76,67,69,60,60,61,57,67,52,65,67,70,70,68,69,66,28,74,34,34,33,83,69,75,69,4,3
72,80,71,61,74,34,65,79,80,71,71,79,69,60,66,62,56,56,67,54,59,74,77,79,67,74,70,45,65,39,17,14,81,56,75,49,3,3
72,65,56,55,61,72,76,62,67,46,56,67,54,21,67,34,43,68,69,69,30,57,44,53,71,70,73,73,67,72,72,71,78,65,83,71,4,2
72,68,70,74,79,44,50,71,66,65,70,67,73,72,63,68,75,68,77,75,75,78,89,85,66,79,71,47,39,41,48,35,47,70,44,43,3,4
72,81,71,60,70,31,72,77,84,72,73,72,67,68,65,55,65,55,64,53,66,71,70,64,70,70,71,29,68,26,28,25,80,68,73,72,3,3
72,92,66,65,73,33,56,93,92,66,67,67,64,63,58,66,65,45,68,63,66,73,85,80,63,70,67,25,42,37,30,35,60,77,49,45,3,3
72,62,51,65,62,72,73,60,64,45,35,70,67,60,53,57,58,54,72,72,65,57,63,59,68,69,63,71,72,71,74,72,77,68,75,75,3,2
72,76,45,64,64,66,70,75,77,55,45,50,44,25,34,73,58,46,69,54,63,58,82,61,69,68,62,68,59,66,69,63,73,85,70,52,3,2
72,71,68,71,72,41,62,67,74,68,71,71,68,50,54,67,76,64,73,72,65,72,72,72,69,73,69,40,53,42,38,35,63,66,61,58,3,3
72,64,74,63,70,45,68,66,63,73,76,75,72,70,59,60,63,58,68,60,59,69,64,68,71,74,65,46,67,39,44,41,74,62,71,67,3,3
72,73,72,64,72,35,68,76,71,71,73,77,68,64,77,54,71,46,70,63,56,73,75,68,68,72,71,43,72,30,25,23,81,69,68,63,3,3
72,81,71,69,72,31,60,80,81,66,72,73,75,64,57,68,73,72,71,60,71,73,82,66,66,71,55,20,61,21,35,38,76,55,66,49,3,3
72,62,66,70,74,48,64,65,60,69,66,69,65,59,60,62,75,56,75,69,63,74,70,75,71,74,75,45,48,42,54,49,62,66,67,56,2,4
72,81,69,60,70,23,81,82,80,72,72,72,63,64,60,54,67,44,67,50,44,68,79,73,67,71,72,19,69,22,13,16,88,90,84,62,3,2
72,37,67,68,71,70,71,39,36,73,67,61,72,58,64,55,71,65,74,72,59,71,65,72,76,72,67,72,58,68,75,64,62,70,73,71,3,3
72,66,72,65,70,40,71,62,69,74,75,72,69,66,54,68,68,58,71,49,52,71,63,59,72,73,66,31,67,30,51,27,76,71,78,54,2,2
72,73,57,69,72,61,52,70,75,75,55,59,56,50,57,51,75,49,79,77,52,72,72,79,70,74,56,59,54,58,67,61,53,68,44,51,5,3
72,88,64,66,70,36,60,86,90,71,69,58,61,57,45,71,69,65,68,57,51,70,81,66,62,70,56,36,41,32,37,41,63,70,57,53,2,3
72,80,42,63,72,67,60,79,81,59,39,50,41,37,37,68,59,34,70,57,58,71,81,82,69,71,68,68,54,66,69,70,63,70,50,71,3,2
72,78,66,68,74,40,57,77,78,69,69,64,65,59,63,68,70,69,69,63,64,75,77,70,64,76,58,39,56,36,41,32,68,63,55,52,3,4
72,74,70,68,74,36,61,75,74,67,75,73,68,46,56,64,71,56,72,68,60,73,85,74,70,72,68,24,46,43,35,31,64,72,62,42,4,4
72,54,51,61,62,70,85,55,54,36,47,61,50,38,71,54,49,54,69,78,43,56,63,52,65,70,64,68,72,69,71,69,80,86,84,85,3,2
72,39,62,71,69,68,74,41,37,62,55,76,70,48,56,58,76,68,75,75,75,70,59,54,68,72,73,70,65,71,67,65,65,75,72,81,4,3
72,68,62,72,74,57,50,73,63,67,63,65,62,45,62,69,73,66,76,71,64,72,82,82,70,75,68,59,47,57,59,56,49,71,36,59,4,3
72,61,55,68,76,63,60,75,50,63,56,59,50,48,49,55,73,39,77,72,57,76,82,80,72,75,68,65,53,62,66,62,61,77,51,59,3,3
72,71,52,65,69,71,55,72,71,65,52,57,45,45,53,71,48,34,75,65,60,70,60,77,68,70,70,76,50,75,72,68,57,67,47,60,3,2
72,65,65,66,72,57,58,62,67,72,72,49,70,43,64,54,69,47,75,72,45,73,63,67,74,77,52,64,48,47,70,46,64,63,56,54,3,3
72,75,69,68,72,39,59,76,75,72,66,75,72,67,59,72,70,64,68,64,68,73,74,70,70,71,75,36,48,38,40,33,63,65,58,53,3,3
72,90,66,62,75,36,53,91,90,69,67,73,59,52,66,65,64,49,65,50,72,73,91,90,70,73,71,41,58,46,22,20,65,73,44,46,3,3
72,73,71,55,66,43,74,71,74,75,73,72,66,67,66,42,62,44,65,46,56,64,57,59,68,71,70,44,73,40,38,32,85,67,80,67,3,3
72,79,64,71,76,44,48,83,76,73,65,67,56,50,73,73,72,63,72,70,65,72,85,93,72,75,77,41,45,49,42,35,53,80,35,40,4,3
72,86,71,58,74,26,67,85,87,74,70,75,67,72,75,51,53,54,64,61,65,74,79,71,71,74,69,20,63,18,28,16,79,65,68,63,3,3
72,89,67,56,75,35,60,87,90,75,74,65,56,57,58,55,53,58,64,45,56,76,87,75,72,72,53,38,42,38,29,26,67,65,65,39,4,3
72,86,72,62,75,26,61,84,87,70,73,76,70,62,65,60,73,53,61,55,61,75,77,74,74,74,71,22,61,26,20,18,77,69,64,41,2,3
72,88,70,57,72,24,71,91,85,75,73,71,61,59,73,53,66,40,61,48,58,71,78,71,74,71,66,20,60,19,21,17,83,74,73,57,3,3
72,72,70,72,73,39,56,72,72,71,70,72,70,65,68,73,72,75,72,68,71,73,77,83,72,73,65,46,64,43,28,21,70,55,58,50,3,3
72,78,39,55,64,72,74,71,83,41,33,54,39,29,35,42,53,33,66,62,46,63,69,53,71,66,63,71,72,72,73,71,84,65,79,69,3,2
72,77,70,56,69,35,75,73,80,74,74,76,60,66,50,48,60,38,62,53,57,69,65,69,69,71,67,34,66,32,29,31,79,77,76,70,3,2
72,83,34,55,62,72,76,71,92,26,30,49,31,31,33,50,39,33,69,66,38,59,64,58,66,68,55,68,72,70,76,72,84,75,79,66,2,2
72,82,34,64,71,66,65,83,81,55,26,52,32,27,31,68,53,32,70,69,59,72,78,74,65,69,66,72,63,62,66,67,74,76,58,66,3,2
72,71,53,50,57,72,78,68,73,33,48,77,41,43,70,23,40,26,70,68,28,49,70,60,73,60,70,72,69,69,74,73,78,77,77,80,3,2
72,68,44,58,63,71,77,69,68,45,40,58,36,33,58,43,51,46,68,69,57,60,63,63,68,66,70,70,72,71,72,70,84,68,82,73,3,3
72,73,36,60,69,68,75,71,75,64,35,36,30,30,49,69,60,36,61,57,57,69,71,68,67,71,63,67,72,68,68,70,81,84,71,73,3,3
72,85,62,64,77,31,62,87,84,64,64,61,62,45,59,62,65,58,68,60,54,78,90,91,60,76,56,24,52,30,29,33,70,69,59,60,3,3
72,62,44,56,60,75,84,55,67,40,42,49,45,39,46,48,45,42,67,63,44,59,56,62,69,60,67,76,70,74,75,76,77,82,84,87,2,2
72,75,71,63,75,32,65,75,75,75,75,70,64,57,71,59,68,53,70,57,45,76,71,80,71,75,68,25,63,35,21,34,75,79,70,34,5,3
72,76,74,55,66,32,78,72,80,72,73,80,71,69,73,40,56,63,64,47,57,68,61,37,61,70,67,15,73,41,24,22,89,80,89,45,3,2
72,70,73,62,69,36,71,74,67,70,74,75,70,78,71,48,61,54,71,59,68,64,74,79,68,72,68,31,74,31,33,30,85,76,76,50,3,2
72,79,40,63,73,65,60,77,80,59,37,47,35,34,44,71,55,40,66,63,63,73,81,77,70,74,58,74,53,61,68,66,61,82,48,64,2,2
72,71,74,66,69,34,66,72,71,76,76,73,70,68,80,53,72,69,70,62,66,69,71,70,60,70,60,28,76,30,32,23,81,68,66,60,3,3
72,83,66,66,74,36,55,81,85,69,70,58,68,59,57,70,68,52,70,55,64,75,78,68,70,74,64,18,55,38,41,33,70,59,56,45,3,3
72,54,53,62,65,74,72,54,54,50,49,59,55,52,60,55,50,55,74,64,59,60,67,60,71,71,60,75,80,71,75,68,76,82,67,72,1,2
72,71,42,64,66,70,67,70,72,38,38,54,38,35,55,72,55,42,73,60,48,64,66,60,67,72,55,73,60,73,70,64,71,75,68,53,3,3
72,85,67,71,73,29,54,88,82,68,65,70,68,64,65,70,70,77,71,70,77,71,85,84,65,72,67,22,65,30,23,22,73,67,51,41,3,3
72,64,71,56,72,40,76,61,66,72,73,80,63,64,60,50,58,40,64,50,49,74,65,65,67,73,70,39,74,36,38,23,82,60,81,80,2,3
72,66,49,61,55,72,76,61,70,33,30,76,67,41,55,49,59,59,69,67,48,41,68,67,71,67,62,70,74,71,73,70,80,75,77,75,4,2
72,80,68,65,74,40,52,83,77,71,70,72,66,55,51,69,68,42,67,60,54,73,81,93,68,71,67,42,50,38,38,34,58,65,42,57,3,3
72,82,66,65,75,34,57,80,84,68,71,70,49,64,65,71,61,47,67,59,71,76,77,74,64,75,64,31,52,36,30,32,70,58,64,35,3,3
72,63,46,62,62,72,74,65,62,40,48,50,40,41,51,58,57,45,71,62,42,54,65,65,75,69,60,74,66,76,70,68,76,75,77,67,3,2
72,62,51,59,62,73,72,69,57,45,47,68,45,38,71,42,57,49,73,59,45,58,58,50,71,68,68,69,75,72,78,69,81,71,74,68,3,2
72,73,72,62,71,29,72,70,76,70,72,79,65,70,82,54,64,52,68,60,69,72,67,74,74,68,73,24,75,21,26,21,78,79,70,67,4,3
72,58,59,57,58,70,77,53,62,49,58,76,55,39,50,36,42,51,74,73,35,59,34,43,64,68,53,68,81,66,73,69,86,67,85,69,3,2
72,58,46,62,70,67,75,68,50,60,41,61,42,37,49,43,67,47,71,68,48,66,78,85,71,70,65,71,54,66,69,68,67,76,70,86,3,2
72,69,36,62,64,72,75,66,72,55,34,34,38,33,34,49,53,41,74,71,53,60,72,74,67,66,67,72,76,72,74,66,82,75,75,72,2,2
72,75,35,58,67,70,73,74,75,60,33,39,31,26,36,68,44,26,65,60,46,69,66,67,69,66,58,70,61,72,70,69,77,80,75,58,3,2
72,85,37,55,63,71,67,82,88,62,29,56,29,32,42,65,34,29,64,60,47,60,74,69,68,62,63,74,59,72,71,71,84,62,68,68,2,2
72,61,51,74,67,59,66,59,62,75,48,59,46,46,49,68,78,45,79,78,54,67,60,70,68,69,64,68,43,42,75,58,64,68,68,59,4,3
72,85,64,65,74,32,58,86,85,68,64,67,62,60,62,67,68,54,66,60,68,76,76,75,68,74,66,28,46,28,35,32,67,66,58,48,4,4
72,83,71,63,74,29,57,81,84,69,70,76,71,69,57,67,65,48,66,48,68,76,78,73,64,74,62,24,49,29,27,29,66,62,59,45,3,3
72,67,38,60,68,73,71,68,66,54,32,66,21,33,46,58,52,34,72,64,38,66,73,71,69,67,73,77,74,70,73,71,78,70,70,74,2,2
72,68,73,73,73,41,49,69,68,71,73,73,75,63,74,69,75,77,73,72,74,74,66,94,71,72,73,30,43,62,29,30,48,65,45,40,3,3
72,79,72,60,72,27,67,77,81,72,75,73,63,72,74,54,63,46,68,53,57,74,72,66,68,72,70,21,62,27,21,19,76,73,70,50,3,3
72,86,72,66,76,25,52,84,88,75,75,73,68,63,63,66,67,48,71,63,59,74,90,91,69,73,68,19,59,16,25,26,67,66,49,37,3,3
72,80,71,57,77,21,71,78,81,67,76,69,66,67,59,55,62,61,61,40,67,80,80,73,62,76,70,12,71,16,15,19,84,71,71,67,4,4
72,91,63,61,79,26,57,92,90,65,63,66,59,55,64,66,61,50,63,54,62,80,92,87,66,74,70,20,40,21,31,25,65,68,59,36,3,3
72,73,43,54,60,72,75,74,73,35,42,62,26,26,60,33,49,27,70,68,30,57,63,61,70,59,71,71,68,70,75,74,80,66,76,80,3,2
72,72,68,69,74,39,55,71,72,70,66,67,73,66,66,69,67,62,72,68,63,76,76,67,70,73,59,42,30,47,35,31,52,66,55,40,4,4
72,62,40,66,61,71,77,61,62,50,40,41,36,39,51,64,56,40,80,62,62,52,65,62,60,70,72,69,69,72,73,72,78,76,82,64,3,3
72,79,71,61,66,25,75,75,83,74,75,71,68,62,62,41,66,55,69,61,62,62,78,66,70,70,58,18,72,23,17,18,79,69,82,66,4,2
72,90,64,62,76,28,57,92,89,70,65,69,57,63,53,61,61,38,67,59,65,77,85,76,66,75,63,29,52,28,20,22,69,65,53,56,2,3
72,78,69,66,74,34,55,75,80,69,69,73,67,71,65,70,61,69,68,60,70,76,70,75,68,75,61,26,59,33,33,35,61,73,46,55,3,3
72,58,76,67,70,36,69,62,55,74,76,77,74,76,76,66,65,73,69,65,73,69,66,66,68,73,74,31,78,33,34,21,81,56,72,74,4,3
72,68,41,61,62,73,71,58,76,55,40,45,31,35,59,62,55,39,68,69,39,57,66,64,72,63,71,74,71,74,73,72,75,71,71,70,4,2
72,61,69,56,65,46,79,50,70,73,71,76,58,68,67,58,54,45,58,55,62,65,51,43,71,71,68,42,84,39,44,39,88,61,90,73,3,3
72,54,46,63,63,71,79,52,55,58,36,62,48,46,42,49,66,45,69,70,52,63,56,52,69,64,71,70,72,72,71,68,78,72,81,82,3,2
72,70,66,71,74,43,52,72,68,71,66,65,65,62,66,68,74,64,73,67,70,73,78,74,70,74,75,41,43,47,44,30,51,66,46,48,3,4
72,90,69,56,73,22,66,88,92,72,71,74,60,60,72,53,59,36,65,43,51,75,74,74,72,72,68,20,62,15,17,22,79,84,67,39,2,3
72,81,41,58,60,70,66,85,78,56,40,44,36,32,45,68,40,47,66,53,55,53,74,71,67,65,56,65,61,73,72,69,76,71,61,71,3,2
72,62,49,66,67,71,61,62,62,49,45,54,57,43,45,70,57,53,70,68,65,68,58,57,73,71,60,78,67,70,70,69,66,69,58,56,3,2
72,59,68,72,76,52,48,67,53,73,68,67,68,69,60,72,72,69,74,70,76,75,75,82,73,76,75,44,56,48,59,52,43,64,33,65,4,4
72,84,67,62,75,38,49,85,84,76,72,69,59,62,49,61,60,39,66,63,72,76,80,73,68,75,66,39,62,33,35,39,68,54,45,48,4,4
72,82,71,59,73,25,65,84,81,73,73,72,68,69,66,45,65,52,68,48,62,73,76,83,71,71,72,22,67,22,18,21,80,63,67,59,4,3
72,75,61,71,74,44,50,77,73,68,60,70,55,49,59,60,74,70,76,71,60,75,76,76,70,75,64,49,51,42,41,43,55,73,38,50,2,4
72,74,67,67,77,31,59,82,67,68,72,69,59,60,55,64,71,42,73,63,63,79,86,83,68,73,70,25,42,28,33,36,62,69,59,45,3,5
72,37,56,67,66,72,76,34,40,60,51,62,59,50,57,58,68,40,73,71,65,69,42,31,68,72,74,70,75,72,73,68,75,53,86,80,3,2
72,43,56,71,64,74,66,41,44,50,51,65,58,56,60,65,71,56,75,79,60,60,48,53,75,73,75,75,74,76,72,72,70,53,72,64,3,2
72,51,48,64,66,70,75,53,49,43,42,57,55,46,51,52,66,40,73,70,49,64,63,65,65,70,65,69,64,72,72,69,70,77,75,74,4,2
72,75,72,62,71,28,66,73,77,74,74,73,69,69,70,51,64,56,70,56,65,71,71,72,71,72,72,14,65,33,22,23,74,71,68,52,3,3
72,34,62,68,68,68,74,35,33,69,63,68,59,41,54,60,67,52,76,71,47,69,58,40,69,73,74,66,67,67,70,67,66,72,77,73,3,3
72,69,72,60,72,36,65,68,69,67,78,70,64,58,69,47,65,40,71,55,51,74,66,68,62,74,70,26,82,41,26,23,85,63,71,45,3,2
72,66,62,69,75,44,58,65,66,64,66,59,54,58,63,56,74,62,76,69,64,75,73,73,73,78,69,44,57,40,46,39,63,66,57,50,3,3
72,76,27,61,73,68,69,73,78,38,26,32,24,21,32,70,51,29,67,63,50,72,80,72,66,75,64,69,70,67,69,68,76,67,69,71,3,2
72,70,72,59,70,31,72,68,72,72,71,78,70,68,71,48,58,59,69,53,58,74,54,51,69,72,68,26,74,22,30,23,82,67,76,68,3,3
72,76,66,68,74,35,54,77,76,68,66,68,69,53,56,71,70,55,70,59,71,75,76,75,69,72,71,29,51,38,32,27,63,65,53,39,4,3
72,75,70,64,75,29,60,77,74,71,73,71,65,61,57,69,70,54,60,61,61,78,76,73,68,74,65,26,62,24,27,23,71,65,58,56,4,3
72,71,49,56,56,74,67,69,73,34,50,52,48,47,52,37,52,46,68,64,51,47,65,72,67,63,58,75,70,74,75,73,73,64,66,71,2,2
72,68,75,68,74,29,59,73,63,70,71,81,78,74,81,64,72,63,69,65,75,75,77,76,69,74,70,28,56,33,19,18,68,67,61,44,3,3
72,60,69,72,75,34,63,67,54,71,70,71,68,65,60,70,72,74,73,71,76,75,76,76,70,75,71,36,40,28,39,31,56,73,61,59,3,4
72,66,70,63,67,42,65,60,71,77,70,72,66,70,68,56,53,59,74,64,51,66,53,53,74,74,64,42,69,38,38,37,75,38,77,64,2,2
72,44,52,69,69,69,70,49,40,57,52,51,55,44,48,62,68,42,78,74,51,65,66,61,74,77,68,70,66,71,69,68,71,47,79,74,3,3
72,79,68,65,75,29,56,79,79,72,71,69,64,66,60,64,70,45,69,59,68,76,86,75,70,73,66,23,59,24,32,19,70,67,58,36,3,4
72,63,33,62,63,73,78,59,66,51,26,47,32,27,37,56,58,34,70,69,52,58,58,70,72,68,70,71,68,74,74,71,76,83,80,69,3,2
72,66,73,52,71,27,83,64,67,74,75,75,69,68,57,37,60,46,62,44,38,70,67,73,57,78,55,20,76,22,21,26,89,75,91,69,3,2
72,73,72,56,70,25,76,71,74,73,71,77,69,72,73,41,58,54,65,56,55,68,67,77,72,72,72,20,71,14,22,26,85,71,81,68,3,3
72,72,30,51,63,70,86,79,66,27,27,41,23,25,41,42,33,33,68,56,35,59,67,49,66,67,70,69,72,71,71,68,85,89,91,72,3,2
72,91,63,63,74,30,51,92,91,66,64,66,62,56,51,66,67,47,64,56,65,75,86,79,66,72,61,26,49,29,30,26,59,67,40,56,4,3
72,62,38,61,64,72,75,67,57,43,32,47,41,33,41,50,48,53,76,68,41,58,64,65,72,70,68,70,70,75,73,70,78,75,76,72,3,2
72,82,71,57,70,21,71,83,81,72,72,75,66,66,66,58,58,46,63,44,59,70,73,68,69,70,68,15,71,13,19,12,87,66,74,66,3,2
72,63,40,61,60,71,76,63,63,58,34,55,35,24,53,54,58,33,69,66,52,55,60,62,68,65,69,72,70,70,73,71,79,67,82,73,3,2
72,82,73,55,71,22,68,80,83,75,78,72,64,65,76,50,53,59,62,46,61,69,80,72,66,71,68,24,65,17,14,12,80,85,72,33,3,3
72,62,48,56,61,73,71,63,62,41,41,70,49,36,32,54,51,31,64,58,42,58,64,62,68,62,67,74,68,74,73,72,74,61,73,76,4,2
72,65,71,60,70,29,76,65,65,75,72,74,62,73,75,48,65,44,73,50,49,70,67,73,71,69,73,22,78,22,27,20,88,62,85,69,3,3
72,74,76,61,71,24,65,76,72,67,80,75,70,69,75,74,63,68,59,42,64,72,62,61,68,74,65,18,65,16,24,21,80,68,75,34,4,3
72,56,45,64,66,70,70,52,60,55,40,56,50,24,40,44,69,42,75,73,50,66,59,53,70,69,67,71,71,72,69,68,74,60,75,70,3,2
72,84,62,65,75,28,57,83,85,68,65,62,58,56,60,66,67,54,67,61,63,77,78,78,69,74,67,23,37,22,31,36,60,71,57,38,2,3
72,61,70,73,73,46,48,60,62,70,70,73,67,71,65,68,72,70,76,72,73,75,63,66,75,75,70,33,67,47,50,37,59,42,46,60,3,3
72,61,42,60,67,71,69,57,65,40,30,60,48,44,48,55,45,48,75,59,48,63,55,72,71,77,60,73,70,73,70,68,72,60,73,71,3,2
72,73,66,73,73,37,48,74,72,70,72,59,62,46,65,74,75,66,75,71,67,71,74,87,58,75,69,35,37,38,34,44,46,59,40,55,4,4
72,73,73,56,67,28,73,72,74,75,74,74,71,70,68,42,58,53,66,47,59,64,74,64,67,70,70,24,73,25,20,23,82,74,74,68,4,3
72,85,69,64,75,29,48,88,83,68,68,75,71,57,57,65,67,65,67,53,68,75,91,86,70,72,64,20,49,32,27,25,62,65,46,27,3,4
72,51,59,68,69,66,57,51,51,70,63,53,60,34,51,54,72,58,77,69,51,69,59,69,70,75,59,70,53,64,69,65,52,73,50,57,3,2
72,66,49,64,69,71,51,67,66,51,48,53,51,38,46,73,53,50,66,64,67,66,70,72,74,71,64,75,52,70,77,69,54,60,45,53,3,2
72,76,70,52,69,31,72,79,74,76,72,72,65,63,59,34,49,40,65,51,59,69,69,67,67,71,68,28,71,25,27,26,86,69,76,63,3,3
72,69,38,56,62,73,72,63,73,41,33,53,34,29,48,44,54,33,67,64,42,59,59,65,69,65,64,70,69,70,78,75,75,67,75,71,4,2
72,62,46,60,58,72,71,56,67,50,42,58,46,39,40,45,63,39,67,67,50,53,53,44,72,64,68,72,72,72,72,73,77,58,76,71,3,2
72,70,69,73,76,33,48,73,67,62,65,78,73,69,69,71,73,73,74,72,78,75,81,85,66,75,74,40,38,21,41,28,50,60,45,41,3,4
72,78,63,70,74,39,45,79,78,67,66,63,64,38,62,60,72,69,75,69,71,74,77,83,64,74,70,22,44,41,44,45,54,41,46,45,3,3
72,65,72,56,62,32,82,59,69,76,74,81,65,61,60,42,60,48,68,49,31,64,54,33,57,66,71,20,82,30,28,21,91,70,92,70,3,2
72,88,61,63,82,26,49,90,86,64,61,64,63,51,48,64,59,55,67,59,63,87,91,90,69,74,63,23,33,21,28,30,56,55,47,43,3,5
72,53,45,65,62,73,71,53,53,66,42,49,43,40,56,60,66,42,74,67,41,53,63,63,72,73,64,71,70,76,71,74,74,57,80,66,3,2
72,64,72,51,70,42,70,63,65,79,74,72,69,62,62,39,40,60,66,41,61,72,55,67,69,71,71,27,71,23,61,40,77,68,73,62,3,3
72,67,30,56,68,71,77,65,68,34,19,58,25,22,42,40,51,28,69,63,48,67,70,72,69,68,72,69,75,68,73,72,82,71,78,79,3,2
72,76,71,63,71,28,60,75,77,73,73,69,68,66,69,66,68,54,69,45,58,74,57,60,71,74,71,20,70,25,23,23,75,63,62,46,3,3
72,62,74,64,69,30,69,57,66,77,77,75,69,69,71,64,64,50,68,58,70,70,74,61,67,68,67,28,67,19,29,29,75,51,80,64,3,3
72,66,74,60,73,23,72,73,61,69,76,76,70,60,81,63,60,48,66,41,65,75,70,68,71,75,64,18,70,22,12,18,81,78,77,49,4,3
72,53,39,61,63,72,80,40,63,25,33,56,38,44,33,59,58,31,70,65,42,61,58,63,70,64,69,72,72,72,72,70,75,79,84,71,2,2
72,70,74,47,66,28,83,67,73,72,75,80,68,59,75,40,43,45,54,40,65,67,67,53,71,66,67,15,78,35,15,24,83,75,91,72,4,3
72,78,63,64,73,34,56,75,81,75,66,61,57,61,60,72,64,36,69,58,51,73,71,79,67,76,63,20,34,56,25,25,55,67,56,40,3,3
72,59,43,54,59,73,80,63,56,45,35,60,45,42,39,55,42,41,64,52,45,55,59,51,59,65,58,73,62,74,76,72,79,68,89,74,3,2
72,73,74,54,69,26,72,74,72,75,76,74,69,68,71,36,61,44,66,42,56,68,74,69,69,70,71,12,68,17,31,20,80,73,76,61,3,3
72,84,68,65,76,24,51,82,85,71,69,70,68,62,61,67,67,58,67,56,69,77,81,84,64,73,73,21,42,22,22,21,56,66,49,35,4,3
72,69,73,57,71,27,71,67,71,75,78,71,63,72,72,41,51,55,68,61,53,66,83,72,73,74,66,24,64,21,25,22,74,78,73,54,3,2
72,46,59,68,56,74,65,44,47,69,54,65,60,55,72,66,65,50,73,71,62,45,46,66,65,70,75,74,80,71,75,73,71,65,63,69,3,3
72,69,72,54,71,30,71,61,76,74,73,79,63,65,73,47,57,40,62,43,52,74,64,63,68,72,70,20,70,20,35,20,76,59,78,65,3,3
72,85,58,63,76,29,56,86,85,67,58,69,47,57,53,69,67,48,66,53,45,77,84,58,75,75,66,24,39,25,33,26,64,54,60,46,3,4
72,71,71,59,68,22,75,69,73,71,70,76,68,70,77,51,61,49,71,46,57,67,66,69,66,71,61,19,77,13,17,17,87,71,81,60,3,3
72,68,72,58,68,31,69,66,69,75,75,73,65,67,72,51,55,49,67,52,55,68,68,65,68,70,65,21,72,22,30,35,81,64,79,45,3,2
72,64,71,58,66,35,72,62,65,74,75,75,62,68,61,48,62,40,67,52,64,65,52,62,72,71,71,26,73,32,34,26,80,66,78,62,4,2
72,86,61,64,75,33,47,90,83,66,64,57,62,40,54,66,68,37,68,60,56,75,88,91,61,73,64,29,32,32,35,37,49,70,32,55,4,4
72,35,58,66,70,70,67,32,38,56,60,59,55,53,57,48,69,53,75,71,58,67,68,73,70,75,61,72,55,71,73,66,56,74,68,60,3,2
72,79,65,71,77,33,41,84,74,64,66,66,65,55,63,66,72,58,74,72,69,79,81,80,63,76,73,24,48,32,34,31,46,50,34,44,3,4
72,72,67,66,77,26,58,76,68,65,70,67,65,60,57,68,70,60,70,56,57,79,79,87,63,77,67,26,44,28,20,22,63,65,63,36,3,3
72,81,65,66,78,28,47,85,78,68,66,64,69,52,62,64,71,58,68,61,66,77,92,90,67,75,74,21,43,37,22,19,53,65,40,38,2,4
72,60,44,54,55,71,81,54,64,37,38,71,38,19,42,33,54,54,65,59,44,52,55,39,64,58,74,70,72,70,74,70,82,68,90,73,3,2
72,57,44,56,58,71,79,55,59,23,45,48,43,23,63,45,52,28,69,66,28,52,56,62,71,65,63,70,67,72,73,69,75,79,82,73,2,2
72,77,72,59,73,21,63,78,77,70,74,73,69,69,68,52,58,55,70,46,59,73,73,74,65,75,66,14,68,15,19,16,78,72,69,34,3,2
72,79,71,56,71,26,62,76,81,73,74,72,65,65,68,42,55,45,66,54,59,70,76,65,68,71,70,17,70,16,28,26,81,62,73,28,3,3
72,71,75,57,69,22,70,73,69,72,77,76,72,69,73,53,51,56,66,44,65,68,71,77,57,71,63,11,74,19,16,15,83,75,74,49,3,3
72,62,37,56,63,71,75,55,68,36,32,57,25,37,42,37,53,30,71,66,40,63,53,58,65,67,65,71,72,71,71,71,78,67,79,75,3,2
72,49,46,60,59,72,78,62,38,50,39,65,42,47,47,51,53,49,71,65,44,55,55,57,67,65,61,68,77,70,74,73,83,84,77,72,3,2
72,71,30,56,58,71,78,63,78,28,23,48,28,26,33,47,44,36,70,65,31,52,65,62,69,62,64,70,70,68,74,70,77,79,79,73,3,2
72,63,35,59,67,72,68,56,68,32,31,45,32,44,35,34,54,54,75,65,55,63,72,68,70,71,63,71,69,72,75,72,79,55,72,72,3,2
72,71,70,51,65,30,77,70,71,73,73,74,60,63,62,38,56,37,62,45,46,65,53,50,71,69,65,21,78,25,30,18,88,65,83,74,3,2
72,81,69,64,75,29,46,83,80,70,71,73,64,56,62,68,61,48,69,62,48,79,75,79,55,73,63,26,47,27,26,29,57,62,44,29,3,4
72,65,37,51,61,73,76,58,71,32,37,44,29,35,47,40,35,33,68,60,29,62,49,40,69,65,59,71,68,75,75,70,75,72,80,71,3,2
72,83,65,63,74,20,58,83,83,68,67,60,64,55,68,67,67,40,69,52,49,74,78,79,69,72,68,16,72,17,12,12,82,69,62,30,2,3
72,67,72,52,68,28,75,66,67,77,70,74,72,71,68,34,50,55,64,48,55,66,63,71,69,72,58,57,74,12,15,15,84,69,82,65,3,3
